ad_id,title,location,price,year,mileage,condition,fuel_type,transmission,make,model,version,color,doors,seats,interior,warranty,owners,body_type,payment_option,source,extra_features
130537889,هيونداي إلينترا 2020,"Al Maabilah, Muscat",3700,2020,28,,3,2,45,Elantra,,Silver,4-5,5,Velour,Does Not Apply,,Small city car,Cash,us,"['36', '20', '25', '1', '3', '22', '9', '15', '42', '5', '32', '26', '6', '7', '21', '8', '45', 'Brand: Hyundai', 'Power (hp): 200', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Source: US']"
130537861,لكزس GS 2004 وارد ٦ سلندر,"Ibra, Al Sharqiya",1200,2004,300000,,3,2,89,GS-Series,,White,4-5,,Full Leather,Does Not Apply,,Sedan,Cash,us,"['Brand: Lexus', 'Number of doors: 4/5', 'Source: US']"
130537852,Lexus GS-Series 2000 2000,"Misfah, Muscat",800,2000,300000,,3,2,89,GS-Series,2000,White,4-5,5,Full Leather,No,,Sedan,Cash,europe,"['1', '3', '21', '5', '28', '8', '31', '32', '34', '35', '36', '16', '17', '19', '20', '37', '38', '24', '27', '26', '6', '7', '18', '25', '40', 'Brand: Lexus', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Source: Europe']"
130537830,Hyundai Elantra 2015,"Salalah, Dhofar",1850,2015,0,,3,2,45,Elantra,2015,Other,4-5,,Other,No,,Sedan,Cash,us,"['Brand: Hyundai', 'Air Conditioning: Automatic air conditioning', 'Number of doors: 4/5', 'Source: US']"
130537791,Hyundai Elantra 2017,"Salalah, Dhofar",2750,2017,130000,,3,2,45,Elantra,,Grey,,4,Other,No,,Other,Cash,us,"['11', '1', 'Brand: Hyundai', 'Consumption (l/100 km): 2', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 4', 'Source: US']"
130537784,شيفروليه تاهو 2017,"Wadi Al Ma'awal, Al Batinah",8900,2017,180,,3,2,29,Tahoe,LT,Brown,,7,Part Leather,Yes,,Estate,Cash,gcc,"['34', '36', '17', '19', '20', '27', '11', '18', '25', '1', '3', '33', '35', '22', '4', '9', '15', '42', '43', '5', '28', '29', '31', '32', '38', '26', '6', '7', '21', '30', '8', '13', '16', '37', '24', '10', '14', '23', '40', '44', '45', '46', 'Brand: Chevrolet', 'Number of seats: 7', 'Source: GCC']"
130537767,إنفينيتي كيو إكس 80 2020,"Wadi Al Ma'awal, Al Batinah",10900,2020,130,,3,2,50,QX80,,Silver,,7,Full Leather,Yes,,Estate,Cash,us,"['34', '36', '17', '19', '20', '27', '11', '18', '25', '1', '3', '33', '35', '22', '4', '9', '15', '42', '43', '5', '28', '29', '31', '32', '38', '26', '6', '7', '21', '8', '13', '16', '24', '10', '14', '23', '40', '41', '44', '45', '46', 'Brand: Infiniti', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 7', 'Source: US']"
130409455,MINI Cooper Countryman,"Azaiba, Muscat",1700,2012,136000,,3,2,28,Countryman,,White,,4,,Yes,,Hatchback,Cash,gcc,"['Brand: MINI', 'Air Conditioning: A/C manual', 'Number of seats: 4', 'Source: GCC']"
130537635,Suzuki Swift 2019,"Ansab, Muscat",2900,2019,13000,,3,2,36,Swift,,Grey,4-5,5,Cloth,Yes,1,Hatchback,Cash,gcc,"['1', '3', '4', '15', '5', '28', '32', '38', '26', '7', '40', 'Brand: Suzuki', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130404833,نيسان ميكرا 2020  good car,"Qurum, Muscat",2200,2020,54000,,3,2,66,Micra,خليجيه نظيفه ممشى بسيط,White,4-5,4,Velour,Yes,1,Hatchback,Cash,gcc,"['20', '5', '28', 'Brand: Nissan', 'Power (hp): 15', 'Consumption (l/100 km): 12', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 4', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130201000,Toyota Corolla Hatchback 2022,"Al Amarat, Muscat",4550,2022,75000,,3,2,65,Corolla Hatchback,SE,Silver,4-5,5,Cloth,No,,Hatchback,Cash,canada,"['36', '19', '11', '25', '1', '3', '22', '5', '7', '8', '40', 'Brand: Toyota', 'Number of seats: 5', 'Number of doors: 4/5', 'Source: Canada']"
130537535,لكزس IS 300 2018,"Sohar, Al Batinah",6800,2018,167000,,3,2,89,IS 300,F sport,Blue,4-5,4,Full Leather,Does Not Apply,1,Sedan,Cash,us,"['34', '36', '19', '20', '27', '11', '18', '1', '3', '35', '22', '4', '9', '15', '42', '5', '28', '32', '38', '7', '8', '24', '45', 'Brand: Lexus', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 4', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: US']"
