car_title,location,year,price,kilometers,transmission_type,number_of_doors,source,model,color,contact_number,brand
TOYOTA RAV4 PREMIUM +TH1 - MY: 2017,"Ruwi, Muscat•",2017,"OMR 6,200",165989,Automatic,'4/5,GCC,Rav 4,White,N/A,Toyota
Porsche - Cayenne 2019,"Al Ghubrah, Muscat•",2019,"OMR 28,000",58000,Automatic,'4/5,Company Source,Cayenne,Purple,N/A,Porsche
2017 Toyota Corolla LE,"Al Maabilah, Muscat•",2017,"OMR 3,300",45000,Automatic,'4/5,US,Corolla,Burgundy,N/A,Toyota
فولكسفاغن تيجوان 2018 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2018,"OMR 6,000",75000,Automatic,'4/5,US,Passat,Black,N/A,Volkswagen
تويوتا كامرى XSE موديل 2018 مع ضمان 3 سنوات,"Al Seeb, Muscat•",2018,"OMR 6,500",173000,Automatic,'4/5,US,Camry,Blue,N/A,Toyota
BMW X5 2014,"The Wave (Almouj), Muscat•",2014,"OMR 6,900",165000,Automatic,'4/5,GCC,X5,White,N/A,BMW
نيتا اس 2024 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2024,"OMR 13,200",-,Automatic,'4/5,Company Source,Nezha,White,N/A,Neta 
GMC Sierra 2018,"Bosher, Muscat•",2018,"OMR 7,800",110000,Automatic,'4/5,Canada,Sierra,Brown,N/A,GMC
Land Rover Range Rover Velar 2022,"Al Khoud, Muscat•",2022,"OMR 19,400",32000,Automatic,'4/5,US,Range Rover Velar,Other,N/A,Land Rover
2024 Chevrolet Tahoe Premier 6.2L / GCC,"The Wave (Almouj), Muscat•",2024,"OMR 24,500",11000,Automatic,'4/5,GCC,Tahoe,Silver,N/A,Chevrolet
نامي موديل 2024 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2024,"OMR 8,400",-,Automatic,'4/5,US,V Pro,Blue,N/A,Neta 
جيب رانجلر 2019,"Al Maabilah, Muscat•",2019,"OMR 9,300",51000,Automatic,'4/5,US,Wrangler,Red,N/A,Jeep
تويوتا لاند كروزر 2025,"Al Masn'a, Al Batinah•",2025,"OMR 26,200",-,Automatic,'4/5,GCC,Land Cruiser,White,N/A,Toyota
نيسان باترول 2024,"Al Masn'a, Al Batinah•",2024,"OMR 31,500",-,Automatic,'4/5,GCC,Patrol,Black,N/A,Nissan
نيسان باترول 2016,"Al Seeb, Muscat•",2016,"OMR 7,800",254000,Automatic,'4/5,GCC,Patrol,White,N/A,Nissan
Land Rover Range Rover Evoque 2020,"Al Seeb, Muscat•",2020,"OMR 16,000",31667,Automatic,'4/5,Company Source,Evoque,White,N/A,Land Rover
تويوتا لاند كروزر 2025,"Al Maabilah, Muscat•",2025,"OMR 26,800",-,Automatic,'4/5,GCC,Land Cruiser,White,N/A,Toyota
هيونداي إلينترا 2022,"Al Seeb, Muscat•",2022,"OMR 5,200",49000,Automatic,'4/5,US,Elantra,White,N/A,Hyundai
Hyundai Tucson 2012,"Al Amarat, Muscat•",2012,"OMR 1,950",300000,Automatic,'4/5,GCC,Tucson,White,N/A,Hyundai
مرسيدس بنز 250 2018,"Al Maabilah, Muscat•",2018,"OMR 7,950",125000,Automatic,N/A,US,250,White,N/A,Unknown
Toyota Rav 4 2017 تويوتا رافور فوول اوبشن,"Al Maabilah, Muscat•",2017,"OMR 6,750",127000,Automatic,N/A,US,Rav 4,Silver,N/A,Unknown
جي ام سي يوكون 2020 GMC Yukon,"Al Maabilah, Muscat•",2020,"OMR 11,900",152000,Automatic,N/A,US,Yukon,Burgundy,N/A,Unknown
نيسان ارمادا 2013,"Al Maabilah, Muscat•",2013,"OMR 5,500",91000,Automatic,N/A,US,Armada,Burgundy,N/A,Unknown
فولكسفاغن أطلس 2018 Volkswagen ATLAS,"Al Maabilah, Muscat•",2018,"OMR 4,950",210000,Automatic,N/A,US,Atlas,Blue,N/A,Unknown
شيفروليه سلفرادو 2019 Chevrolet Silverado,"Al Maabilah, Muscat•",2019,"OMR 8,500",147000,Automatic,N/A,US,Silverado,Red,N/A,Unknown
نيسان باترول 2018 Nissan Patrol VTC,"Al Maabilah, Muscat•",2018,"OMR 11,950",135000,Automatic,N/A,GCC,Patrol,White,N/A,Unknown
نيسان ارمادا 2019 Nissan Armada,"Al Maabilah, Muscat•",2019,"OMR 12,950",142000,Automatic,N/A,US,Armada,Black,N/A,Unknown
نيسان ارمادا 2020 Nissan Armada SL,"Al Maabilah, Muscat•",2020,"OMR 13,300",153000,Automatic,N/A,US,Armada,Blue,N/A,Unknown
فورد موستانج دارك هورس 2024 Ford Mustang Dark Horse,"Al Maabilah, Muscat•",2024,"OMR 18,700",28000,Automatic,N/A,US,Mustang,White,N/A,Unknown
جيب رانجلر سبورت 2024 Jeep Wrangler Sport,"Al Maabilah, Muscat•",2024,"OMR 12,700",800,Automatic,N/A,US,Wrangler,Black,N/A,Unknown
شيفروليه سلفرادو 2020,"Al Maabilah, Muscat•",2020,"OMR 8,900",146000,Automatic,N/A,US,Silverado,White,N/A,Unknown
جيب Wrangler JK 2013 | وكالة عمان معدّل بالكامل | تجهيز بر ، ونش ، FOX,"Al Mawaleh, Muscat•",2013,"OMR 5,600",160000,Manual,N/A,GCC,Wrangler,Black,N/A,Unknown
جيب جراند شيروكى 2022,"Al Mawaleh, Muscat•",2022,"OMR 13,400",97000,Automatic,N/A,US,Grand Cherokee,Black,N/A,Unknown
هيونداي افانتي 2021 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2021,"OMR 5,100",171000,Automatic,'4/5,US,Avanti,White,N/A,Hyundai
نيسان باترول 2025,"Al Masn'a, Al Batinah•",2025,"OMR 31,700",-,Automatic,'4/5,GCC,Patrol,Silver,N/A,Unknown
ايون واي بلس موديل 2024 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2024,"OMR 13,700",-,Automatic,'4/5,GCC,V Pro,Beige,N/A,Unknown
Nissan Pathfinder 2016,"Madinat As Sultan Qaboos, Muscat•",2016,"OMR 4,999",190000,Automatic,'4/5,GCC,Pathfinder,Black,N/A,Nissan
