brand,model,year,color,transmission_type,number_of_doors,source,kilometers,price
mercedes,gle 450,2022,beige,automatic,4/5,us,36000,22900.0
mercedes,gle 350,2020,black,automatic,4/5,us,60000,17300.0
mercedes,c 300,2023,white,automatic,4/5,us,6000,18300.0
mercedes,e 450,2021,grey,automatic,4/5,us,45000,18700.0
mercedes,e300,2018,blue,automatic,4/5,us,46000,10300.0
lexus,es 350,2021,grey,automatic,4/5,us,3500,12900.0
lexus,es 350,2019,grey,automatic,4/5,us,55000,11500.0
mercedes,gle 350,2020,white,automatic,4/5,us,85000,20900.0
jeep,wrangler,2020,grey,automatic,4/5,gcc,140000,10000.0
range rover,range rover sport,2017,silver,automatic,4/5,gcc,182603,9500.0
toyota,fortuner,2017,white,automatic,4/5,gcc,117927,8700.0
gac,gs 8,2020,blue,automatic,4/5,gcc,106183,5500.0
kia,sonet,2021,white,automatic,4/5,gcc,8175,6200.0
ford,territory,2023,white,automatic,4/5,gcc,16244,10500.0
toyota,camry,2017,white,automatic,4/5,gcc,112994,5500.0
gac,ga 8,2020,white,automatic,4/5,gcc,16660,5999.0
gac,gs 4,2021,white,automatic,4/5,gcc,15754,4200.0
gac,gn 8,2020,white,automatic,4/5,gcc,13163,6500.0
lincoln,other,2020,grey,automatic,4/5,gcc,75000,10900.0
hyundai,elantra,2020,black,automatic,4/5,us,30000,3600.0
hyundai,veloster,2019,grey,automatic,2/3,us,57000,4300.0
hyundai,elantra,2019,blue,automatic,4/5,us,140000,3700.0
hyundai,elantra,2021,red,automatic,4/5,us,53000,4400.0
toyota,rav 4,2021,white,automatic,4/5,us,48000,6300.0
hyundai,elantra,2018,white,automatic,4/5,us,92000,2800.0
hyundai,sonata,2019,white,automatic,4/5,us,103000,3900.0
infiniti,qx80,2020,blue,automatic,4/5,us,84000,10700.0
nissan,patrol,2015,white,automatic,4/5,gcc,247000,6900.0
gmc,terrain,2020,grey,automatic,4/5,gcc,96000,6900.0
range rover,range rover sport,2023,white,automatic,4/5,canada,19000,39900.0
toyota,hilux,2024,white,automatic,4/5,gcc,24000,15300.0
chevrolet,silverado,2023,black,automatic,4/5,gcc,94000,22800.0
toyota,yaris,2019,silver,automatic,4/5,gcc,91999,4600.0
bmw,316,2015,white,automatic,4/5,gcc,185000,4900.0
toyota,prado,2019,silver,automatic,4/5,gcc,114000,14900.0
mg,200,2017,brown,automatic,4/5,gcc,204000,6900.0
jeep,grand cherokee,2017,black,automatic,4/5,gcc,173000,7700.0
toyota,land cruiser,2018,grey,automatic,4/5,gcc,147000,17900.0
ram,ram,2015,red,automatic,4/5,gcc,127000,7900.0
nissan,kicks,2019,white,automatic,4/5,gcc,99000,4900.0
toyota,land cruiser,2021,white,automatic,4/5,gcc,136000,24900.0
range rover,range rover vogue,2015,purple,automatic,4/5,gcc,171000,11900.0
jeep,wrangler,2019,silver,automatic,4/5,gcc,73000,12900.0
jeep,wrangler,2020,blue,automatic,4/5,gcc,94000,13900.0
toyota,yaris,2019,white,automatic,4/5,gcc,147000,4500.0
suzuki,swift,2019,white,automatic,4/5,gcc,121000,3700.0
gmc,sierra,2022,blue,automatic,4/5,gcc,32000,24900.0
hyundai,sonata,2016,brown,automatic,4/5,us,141000,2650.0
mazda,6,2020,white,automatic,4/5,gcc,64000,6600.0
nissan,patrol,2021,white,automatic,4/5,gcc,44000,17900.0
nissan,patrol,2022,white,manual,2/3,gcc,66000,17900.0
jeep,grand cherokee,2016,red,automatic,4/5,gcc,148000,6900.0
nissan,patrol,2016,gold,automatic,4/5,gcc,12900,11900.0
hyundai,creta,2023,grey,automatic,4/5,gcc,59000,6300.0
mazda,6,2022,red,automatic,4/5,gcc,61000,6900.0
nissan,patrol,2021,black,automatic,4/5,gcc,25000,18600.0
nissan,patrol,2022,white,automatic,4/5,gcc,45000,18900.0
jeep,wrangler,2020,green,automatic,4/5,gcc,45000,13900.0
jeep,wrangler,2020,red,automatic,4/5,gcc,85000,13900.0
land rover,defender,2021,grey,automatic,4/5,gcc,165000,26900.0
range rover,range rover,2018,white,automatic,4/5,gcc,85000,19900.0
mini,cooper,2018,grey,automatic,2/3,gcc,55000,8800.0
gmc,acadia,2015,gold,automatic,4/5,gcc,165000,4300.0
honda,civic,2018,white,automatic,4/5,gcc,156000,4900.0
gmc,sierra,2024,black,automatic,2/3,gcc,34000,21900.0
infiniti,q70,2015,brown,automatic,4/5,gcc,137000,5900.0
hyundai,h1,2020,white,automatic,4/5,gcc,256000,6700.0
jeep,wrangler,2024,grey,automatic,4/5,gcc,33000,33000.0
chevrolet,captiva,2023,brown,automatic,4/5,gcc,90000,6900.0
lexus,es 350,2022,white,automatic,4/5,gcc,40000,16700.0
kia,seltos,2024,green,automatic,4/5,gcc,4000,7900.0
lexus,es 350,2020,gold,automatic,4/5,gcc,72000,14900.0
jeep,wrangler,2023,blue,automatic,4/5,gcc,18000,16900.0
ram,ram,2019,grey,automatic,4/5,gcc,159000,13900.0
ram,ram,2022,burgundy,automatic,4/5,gcc,111000,16900.0
ram,ram,2014,silver,automatic,4/5,gcc,207000,5900.0
gmc,sierra,2019,brown,automatic,4/5,gcc,112000,15700.0
hyundai,santa fe,2018,white,automatic,4/5,gcc,105000,5900.0
chevrolet,tahoe,2021,white,automatic,4/5,gcc,90000,16900.0
gmc,sierra,2017,black,automatic,4/5,gcc,48000,11900.0
chevrolet,captiva,2023,white,automatic,4/5,gcc,46000,6700.0
volkswagen,touareg,2022,white,automatic,4/5,gcc,70000,14900.0
suzuki,jimny,2023,grey,automatic,2/3,gcc,44000,6900.0
chevrolet,tahoe,2024,white,automatic,4/5,gcc,5000,26900.0
toyota,camry,2019,white,automatic,4/5,gcc,168000,7400.0
toyota,corolla,2019,white,automatic,4/5,gcc,223000,5600.0
toyota,rav 4,2018,white,automatic,4/5,gcc,239000,6900.0
toyota,corolla,2020,grey,automatic,4/5,gcc,105000,5600.0
dodge,durango,2016,grey,automatic,4/5,gcc,153000,5900.0
toyota,corolla,2021,grey,automatic,4/5,gcc,96000,5900.0
nissan,maxima,2018,white,automatic,4/5,gcc,143000,7300.0
toyota,corolla,2024,white,automatic,4/5,gcc,36000,8300.0
suzuki,swift,2018,blue,automatic,4/5,gcc,190000,2950.0
volkswagen,gti,2015,grey,automatic,4/5,gcc,94000,3800.0
hyundai,accent,2024,grey,automatic,4/5,gcc,18000,5900.0
ford,escape,2020,blue,automatic,4/5,gcc,174000,4300.0
dodge,neon,2020,burgundy,automatic,4/5,gcc,90000,3300.0
kia,cerato,2014,red,automatic,4/5,gcc,33000,3900.0
lexus,es 350,2015,white,automatic,4/5,gcc,65000,6900.0
nissan,maxima,2015,white,automatic,4/5,gcc,230000,2900.0
